#query	EC
TARA_ARC_108_MAG_00139_000000000001_1	3.5.1.9
TARA_ARC_108_MAG_00139_000000000080_8	3.5.1.5
TARA_ARC_108_MAG_00139_000000000081_1	3.4.16.4
TARA_ARC_108_MAG_00139_000000000081_2	-
TARA_ARC_108_MAG_00139_000000000081_4	-
TARA_ARC_108_MAG_00139_000000000081_5	-
TARA_ARC_108_MAG_00139_000000000081_6	-
TARA_ARC_108_MAG_00139_000000000081_7	-
TARA_ARC_108_MAG_00139_000000000082_1	6.3.1.10
TARA_ARC_108_MAG_00139_000000000082_2	-
TARA_ARC_108_MAG_00139_000000000082_3	-
TARA_ARC_108_MAG_00139_000000000082_4	-
TARA_ARC_108_MAG_00139_000000000083_1	2.7.7.7
TARA_ARC_108_MAG_00139_000000000083_3	-
TARA_ARC_108_MAG_00139_000000000083_4	-
TARA_ARC_108_MAG_00139_000000000083_6	-
TARA_ARC_108_MAG_00139_000000000083_7	3.1.27.1,3.1.27.6
TARA_ARC_108_MAG_00139_000000000083_8	1.6.5.5
TARA_ARC_108_MAG_00139_000000000083_9	6.2.1.3
TARA_ARC_108_MAG_00139_000000000083_10	2.3.1.9
TARA_ARC_108_MAG_00139_000000000083_11	-
TARA_ARC_108_MAG_00139_000000000083_12	-
TARA_ARC_108_MAG_00139_000000000083_13	-
TARA_ARC_108_MAG_00139_000000000083_14	-
TARA_ARC_108_MAG_00139_000000000083_15	-
TARA_ARC_108_MAG_00139_000000000083_16	-
TARA_ARC_108_MAG_00139_000000000083_17	1.4.1.1
TARA_ARC_108_MAG_00139_000000000083_18	-
TARA_ARC_108_MAG_00139_000000000083_19	-
TARA_ARC_108_MAG_00139_000000000083_20	6.1.1.20
TARA_ARC_108_MAG_00139_000000000083_21	-
TARA_ARC_108_MAG_00139_000000000083_23	6.1.1.20
TARA_ARC_108_MAG_00139_000000000083_24	-
TARA_ARC_108_MAG_00139_000000000083_25	-
TARA_ARC_108_MAG_00139_000000000083_26	-
TARA_ARC_108_MAG_00139_000000000083_27	-
TARA_ARC_108_MAG_00139_000000000083_28	-
TARA_ARC_108_MAG_00139_000000000083_29	2.7.1.40
TARA_ARC_108_MAG_00139_000000000083_30	-
TARA_ARC_108_MAG_00139_000000000083_32	2.6.1.21
TARA_ARC_108_MAG_00139_000000000083_33	5.1.1.20
TARA_ARC_108_MAG_00139_000000000083_34	-
TARA_ARC_108_MAG_00139_000000000083_35	4.1.3.24,4.1.3.25
TARA_ARC_108_MAG_00139_000000000083_36	-
TARA_ARC_108_MAG_00139_000000000083_37	-
TARA_ARC_108_MAG_00139_000000000083_38	-
TARA_ARC_108_MAG_00139_000000000083_39	2.1.3.15,6.4.1.2
TARA_ARC_108_MAG_00139_000000000083_40	-
TARA_ARC_108_MAG_00139_000000000083_41	-
TARA_ARC_108_MAG_00139_000000000083_42	-
TARA_ARC_108_MAG_00139_000000000083_43	-
TARA_ARC_108_MAG_00139_000000000083_44	-
TARA_ARC_108_MAG_00139_000000000083_45	2.7.1.165
TARA_ARC_108_MAG_00139_000000000083_46	-
TARA_ARC_108_MAG_00139_000000000083_47	2.7.7.7
TARA_ARC_108_MAG_00139_000000000083_48	-
TARA_ARC_108_MAG_00139_000000000083_49	-
TARA_ARC_108_MAG_00139_000000000083_50	3.6.4.13
TARA_ARC_108_MAG_00139_000000000083_51	-
TARA_ARC_108_MAG_00139_000000000083_52	3.6.3.36
TARA_ARC_108_MAG_00139_000000000083_53	-
TARA_ARC_108_MAG_00139_000000000083_54	2.6.1.77
TARA_ARC_108_MAG_00139_000000000084_1	6.1.1.19
TARA_ARC_108_MAG_00139_000000000084_2	-
TARA_ARC_108_MAG_00139_000000000084_3	3.1.5.1
TARA_ARC_108_MAG_00139_000000000084_4	-
TARA_ARC_108_MAG_00139_000000000084_5	3.1.11.2
TARA_ARC_108_MAG_00139_000000000085_1	-
TARA_ARC_108_MAG_00139_000000000085_2	-
TARA_ARC_108_MAG_00139_000000000085_3	-
TARA_ARC_108_MAG_00139_000000000085_4	-
TARA_ARC_108_MAG_00139_000000000085_5	-
TARA_ARC_108_MAG_00139_000000000085_6	-
TARA_ARC_108_MAG_00139_000000000085_7	-
TARA_ARC_108_MAG_00139_000000000085_8	-
TARA_ARC_108_MAG_00139_000000000085_9	-
TARA_ARC_108_MAG_00139_000000000085_10	-
TARA_ARC_108_MAG_00139_000000000085_11	-
TARA_ARC_108_MAG_00139_000000000086_1	-
TARA_ARC_108_MAG_00139_000000000086_2	1.5.1.7
TARA_ARC_108_MAG_00139_000000000086_3	-
TARA_ARC_108_MAG_00139_000000000087_1	-
TARA_ARC_108_MAG_00139_000000000087_2	-
TARA_ARC_108_MAG_00139_000000000087_3	-
TARA_ARC_108_MAG_00139_000000000088_3	-
TARA_ARC_108_MAG_00139_000000000088_4	-
TARA_ARC_108_MAG_00139_000000000088_5	-
TARA_ARC_108_MAG_00139_000000000088_6	-
TARA_ARC_108_MAG_00139_000000000089_1	-
TARA_ARC_108_MAG_00139_000000000089_3	-
TARA_ARC_108_MAG_00139_000000000089_4	-
TARA_ARC_108_MAG_00139_000000000090_2	-
TARA_ARC_108_MAG_00139_000000000090_3	-
TARA_ARC_108_MAG_00139_000000000090_4	-
TARA_ARC_108_MAG_00139_000000000090_5	-
TARA_ARC_108_MAG_00139_000000000090_7	-
TARA_ARC_108_MAG_00139_000000000090_8	-
TARA_ARC_108_MAG_00139_000000000090_9	-
TARA_ARC_108_MAG_00139_000000000090_10	-
TARA_ARC_108_MAG_00139_000000000091_1	1.2.5.3
TARA_ARC_108_MAG_00139_000000000091_3	1.2.5.3
TARA_ARC_108_MAG_00139_000000000091_4	2.7.7.76
TARA_ARC_108_MAG_00139_000000000092_1	-
TARA_ARC_108_MAG_00139_000000000092_2	-
TARA_ARC_108_MAG_00139_000000000092_3	-
TARA_ARC_108_MAG_00139_000000000092_4	-
TARA_ARC_108_MAG_00139_000000000092_5	-
TARA_ARC_108_MAG_00139_000000000092_6	2.6.1.113
TARA_ARC_108_MAG_00139_000000000093_2	-
TARA_ARC_108_MAG_00139_000000000093_3	1.1.1.69
TARA_ARC_108_MAG_00139_000000000093_4	1.1.1.264
TARA_ARC_108_MAG_00139_000000000093_6	-
TARA_ARC_108_MAG_00139_000000000093_7	-
TARA_ARC_108_MAG_00139_000000000093_8	-
TARA_ARC_108_MAG_00139_000000000093_9	-
TARA_ARC_108_MAG_00139_000000000093_10	-
TARA_ARC_108_MAG_00139_000000000093_11	-
TARA_ARC_108_MAG_00139_000000000093_12	-
TARA_ARC_108_MAG_00139_000000000093_13	-
TARA_ARC_108_MAG_00139_000000000094_1	-
TARA_ARC_108_MAG_00139_000000000094_2	-
TARA_ARC_108_MAG_00139_000000000094_3	-
TARA_ARC_108_MAG_00139_000000000094_4	-
TARA_ARC_108_MAG_00139_000000000094_5	-
TARA_ARC_108_MAG_00139_000000000094_6	-
TARA_ARC_108_MAG_00139_000000000094_7	2.6.1.113
TARA_ARC_108_MAG_00139_000000000095_1	1.6.5.5
TARA_ARC_108_MAG_00139_000000000095_2	-
TARA_ARC_108_MAG_00139_000000000095_3	-
TARA_ARC_108_MAG_00139_000000000095_4	3.4.21.107
TARA_ARC_108_MAG_00139_000000000096_1	-
TARA_ARC_108_MAG_00139_000000000096_2	-
TARA_ARC_108_MAG_00139_000000000096_4	-
TARA_ARC_108_MAG_00139_000000000096_5	-
TARA_ARC_108_MAG_00139_000000000096_6	-
TARA_ARC_108_MAG_00139_000000000096_7	-
TARA_ARC_108_MAG_00139_000000000096_8	-
TARA_ARC_108_MAG_00139_000000000096_9	-
TARA_ARC_108_MAG_00139_000000000097_2	-
TARA_ARC_108_MAG_00139_000000000098_1	3.5.1.108
TARA_ARC_108_MAG_00139_000000000098_2	-
TARA_ARC_108_MAG_00139_000000000098_3	-
TARA_ARC_108_MAG_00139_000000000099_1	2.8.1.13
TARA_ARC_108_MAG_00139_000000000099_2	-
TARA_ARC_108_MAG_00139_000000000099_3	-
TARA_ARC_108_MAG_00139_000000000099_4	6.5.1.2
TARA_ARC_108_MAG_00139_000000000099_5	3.6.4.12
TARA_ARC_108_MAG_00139_000000000100_2	3.5.99.10
TARA_ARC_108_MAG_00139_000000000100_3	3.1.2.23
TARA_ARC_108_MAG_00139_000000000100_4	-
TARA_ARC_108_MAG_00139_000000000100_5	-
TARA_ARC_108_MAG_00139_000000000100_6	-
TARA_ARC_108_MAG_00139_000000000100_7	-
TARA_ARC_108_MAG_00139_000000000100_8	-
TARA_ARC_108_MAG_00139_000000000100_9	6.2.1.32
TARA_ARC_108_MAG_00139_000000000101_1	-
TARA_ARC_108_MAG_00139_000000000101_2	2.3.1.51
TARA_ARC_108_MAG_00139_000000000101_3	-
TARA_ARC_108_MAG_00139_000000000101_4	-
TARA_ARC_108_MAG_00139_000000000101_5	-
TARA_ARC_108_MAG_00139_000000000101_6	-
TARA_ARC_108_MAG_00139_000000000101_7	-
TARA_ARC_108_MAG_00139_000000000101_8	4.2.1.10
TARA_ARC_108_MAG_00139_000000000102_1	1.8.1.9
TARA_ARC_108_MAG_00139_000000000102_2	5.3.1.6
TARA_ARC_108_MAG_00139_000000000102_3	2.7.7.4
TARA_ARC_108_MAG_00139_000000000102_4	-
TARA_ARC_108_MAG_00139_000000000102_6	-
TARA_ARC_108_MAG_00139_000000000102_7	-
TARA_ARC_108_MAG_00139_000000000102_8	-
TARA_ARC_108_MAG_00139_000000000102_9	-
TARA_ARC_108_MAG_00139_000000000103_1	1.8.5.7
TARA_ARC_108_MAG_00139_000000000103_2	-
TARA_ARC_108_MAG_00139_000000000103_3	-
TARA_ARC_108_MAG_00139_000000000103_4	6.3.1.10
TARA_ARC_108_MAG_00139_000000000104_1	1.16.3.3
TARA_ARC_108_MAG_00139_000000000104_2	-
TARA_ARC_108_MAG_00139_000000000104_3	-
TARA_ARC_108_MAG_00139_000000000104_5	-
TARA_ARC_108_MAG_00139_000000000104_6	-
TARA_ARC_108_MAG_00139_000000000105_1	-
TARA_ARC_108_MAG_00139_000000000105_2	-
TARA_ARC_108_MAG_00139_000000000105_3	-
TARA_ARC_108_MAG_00139_000000000105_4	1.5.8.1,1.5.8.2
TARA_ARC_108_MAG_00139_000000000105_5	-
TARA_ARC_108_MAG_00139_000000000105_6	-
TARA_ARC_108_MAG_00139_000000000105_7	2.7.7.39
TARA_ARC_108_MAG_00139_000000000105_8	2.7.8.8
TARA_ARC_108_MAG_00139_000000000105_10	-
TARA_ARC_108_MAG_00139_000000000105_11	-
TARA_ARC_108_MAG_00139_000000000105_12	-
TARA_ARC_108_MAG_00139_000000000105_13	-
TARA_ARC_108_MAG_00139_000000000106_1	5.4.2.10
TARA_ARC_108_MAG_00139_000000000106_2	2.5.1.15,2.7.6.3
TARA_ARC_108_MAG_00139_000000000106_3	1.13.11.81,4.1.2.25,5.1.99.8
TARA_ARC_108_MAG_00139_000000000106_4	-
TARA_ARC_108_MAG_00139_000000000106_5	2.7.9.1
TARA_ARC_108_MAG_00139_000000000106_6	6.1.1.14
TARA_ARC_108_MAG_00139_000000000107_1	6.1.1.17
TARA_ARC_108_MAG_00139_000000000107_2	2.3.3.1
TARA_ARC_108_MAG_00139_000000000107_3	-
TARA_ARC_108_MAG_00139_000000000107_4	-
TARA_ARC_108_MAG_00139_000000000108_1	-
TARA_ARC_108_MAG_00139_000000000108_2	-
TARA_ARC_108_MAG_00139_000000000108_3	1.8.1.7
TARA_ARC_108_MAG_00139_000000000108_4	5.3.1.6
TARA_ARC_108_MAG_00139_000000000108_5	2.5.1.18
TARA_ARC_108_MAG_00139_000000000108_6	4.3.1.17
TARA_ARC_108_MAG_00139_000000000108_7	-
TARA_ARC_108_MAG_00139_000000000109_1	6.3.5.3
TARA_ARC_108_MAG_00139_000000000109_2	-
TARA_ARC_108_MAG_00139_000000000109_3	-
TARA_ARC_108_MAG_00139_000000000109_4	-
TARA_ARC_108_MAG_00139_000000000109_5	-
TARA_ARC_108_MAG_00139_000000000110_1	-
TARA_ARC_108_MAG_00139_000000000110_2	1.2.4.4
TARA_ARC_108_MAG_00139_000000000110_3	2.3.1.39
TARA_ARC_108_MAG_00139_000000000110_4	-
TARA_ARC_108_MAG_00139_000000000110_5	-
TARA_ARC_108_MAG_00139_000000000110_6	3.6.3.27
TARA_ARC_108_MAG_00139_000000000110_7	-
TARA_ARC_108_MAG_00139_000000000111_1	-
TARA_ARC_108_MAG_00139_000000000111_2	3.7.1.3
TARA_ARC_108_MAG_00139_000000000111_3	1.13.11.11
TARA_ARC_108_MAG_00139_000000000111_4	-
TARA_ARC_108_MAG_00139_000000000112_1	3.6.1.27
TARA_ARC_108_MAG_00139_000000000112_2	1.4.1.13,1.4.1.14
TARA_ARC_108_MAG_00139_000000000112_3	-
TARA_ARC_108_MAG_00139_000000000112_4	1.4.1.13,1.4.1.14,1.4.7.1
TARA_ARC_108_MAG_00139_000000000112_5	-
TARA_ARC_108_MAG_00139_000000000112_6	2.4.1.129
TARA_ARC_108_MAG_00139_000000000113_1	-
TARA_ARC_108_MAG_00139_000000000113_2	-
TARA_ARC_108_MAG_00139_000000000113_3	-
TARA_ARC_108_MAG_00139_000000000113_4	-
TARA_ARC_108_MAG_00139_000000000114_1	2.7.13.3
TARA_ARC_108_MAG_00139_000000000114_2	-
TARA_ARC_108_MAG_00139_000000000114_3	-
TARA_ARC_108_MAG_00139_000000000114_4	-
TARA_ARC_108_MAG_00139_000000000115_1	1.1.1.120,1.1.1.175,1.1.1.48
TARA_ARC_108_MAG_00139_000000000115_2	2.7.1.58
TARA_ARC_108_MAG_00139_000000000115_3	4.1.2.21
TARA_ARC_108_MAG_00139_000000000115_4	3.1.1.15
TARA_ARC_108_MAG_00139_000000000115_5	3.2.1.23
TARA_ARC_108_MAG_00139_000000000115_6	5.1.3.3
TARA_ARC_108_MAG_00139_000000000115_7	-
TARA_ARC_108_MAG_00139_000000000115_8	-
TARA_ARC_108_MAG_00139_000000000115_9	3.6.3.20
TARA_ARC_108_MAG_00139_000000000116_1	3.6.4.13
TARA_ARC_108_MAG_00139_000000000116_2	-
TARA_ARC_108_MAG_00139_000000000117_1	-
TARA_ARC_108_MAG_00139_000000000117_2	-
TARA_ARC_108_MAG_00139_000000000117_3	-
TARA_ARC_108_MAG_00139_000000000117_4	-
TARA_ARC_108_MAG_00139_000000000117_5	-
TARA_ARC_108_MAG_00139_000000000117_6	6.3.1.2
TARA_ARC_108_MAG_00139_000000000117_7	6.3.5.2
TARA_ARC_108_MAG_00139_000000000117_8	6.3.1.2
TARA_ARC_108_MAG_00139_000000000117_9	-
TARA_ARC_108_MAG_00139_000000000117_10	-
TARA_ARC_108_MAG_00139_000000000117_11	-
TARA_ARC_108_MAG_00139_000000000117_12	3.6.3.21
TARA_ARC_108_MAG_00139_000000000117_13	-
TARA_ARC_108_MAG_00139_000000000117_14	-
TARA_ARC_108_MAG_00139_000000000118_1	-
TARA_ARC_108_MAG_00139_000000000118_2	-
TARA_ARC_108_MAG_00139_000000000118_3	-
TARA_ARC_108_MAG_00139_000000000119_1	-
TARA_ARC_108_MAG_00139_000000000119_2	-
TARA_ARC_108_MAG_00139_000000000119_3	-
TARA_ARC_108_MAG_00139_000000000119_5	-
TARA_ARC_108_MAG_00139_000000000119_6	-
TARA_ARC_108_MAG_00139_000000000119_7	2.7.7.6
TARA_ARC_108_MAG_00139_000000000120_1	-
TARA_ARC_108_MAG_00139_000000000120_2	2.7.13.1
TARA_ARC_108_MAG_00139_000000000121_1	-
TARA_ARC_108_MAG_00139_000000000121_2	-
TARA_ARC_108_MAG_00139_000000000121_3	-
TARA_ARC_108_MAG_00139_000000000121_4	-
TARA_ARC_108_MAG_00139_000000000122_1	2.7.1.15
TARA_ARC_108_MAG_00139_000000000122_2	1.1.1.40
TARA_ARC_108_MAG_00139_000000000122_3	-
TARA_ARC_108_MAG_00139_000000000123_1	1.5.8.4
TARA_ARC_108_MAG_00139_000000000123_2	-
TARA_ARC_108_MAG_00139_000000000123_3	-
TARA_ARC_108_MAG_00139_000000000123_4	-
TARA_ARC_108_MAG_00139_000000000124_2	2.1.1.45
TARA_ARC_108_MAG_00139_000000000124_3	1.5.1.3
TARA_ARC_108_MAG_00139_000000000124_4	-
TARA_ARC_108_MAG_00139_000000000124_5	-
TARA_ARC_108_MAG_00139_000000000124_6	1.20.4.1
TARA_ARC_108_MAG_00139_000000000124_7	-
TARA_ARC_108_MAG_00139_000000000124_8	-
TARA_ARC_108_MAG_00139_000000000124_9	-
TARA_ARC_108_MAG_00139_000000000124_10	-
TARA_ARC_108_MAG_00139_000000000124_11	6.1.1.3
TARA_ARC_108_MAG_00139_000000000124_12	-
TARA_ARC_108_MAG_00139_000000000125_3	5.99.1.2
TARA_ARC_108_MAG_00139_000000000125_4	-
TARA_ARC_108_MAG_00139_000000000126_1	-
TARA_ARC_108_MAG_00139_000000000126_2	1.1.1.42
TARA_ARC_108_MAG_00139_000000000126_3	-
TARA_ARC_108_MAG_00139_000000000126_4	-
TARA_ARC_108_MAG_00139_000000000126_5	-
TARA_ARC_108_MAG_00139_000000000126_6	-
TARA_ARC_108_MAG_00139_000000000127_1	2.7.13.3
TARA_ARC_108_MAG_00139_000000000127_2	-
TARA_ARC_108_MAG_00139_000000000127_3	2.7.13.3
TARA_ARC_108_MAG_00139_000000000127_4	-
TARA_ARC_108_MAG_00139_000000000128_1	-
TARA_ARC_108_MAG_00139_000000000128_2	-
TARA_ARC_108_MAG_00139_000000000128_3	-
TARA_ARC_108_MAG_00139_000000000128_4	-
TARA_ARC_108_MAG_00139_000000000128_5	2.6.1.1
TARA_ARC_108_MAG_00139_000000000128_6	-
TARA_ARC_108_MAG_00139_000000000128_7	-
TARA_ARC_108_MAG_00139_000000000128_8	-
TARA_ARC_108_MAG_00139_000000000128_9	-
TARA_ARC_108_MAG_00139_000000000128_10	-
TARA_ARC_108_MAG_00139_000000000129_1	-
TARA_ARC_108_MAG_00139_000000000129_2	-
TARA_ARC_108_MAG_00139_000000000129_3	-
TARA_ARC_108_MAG_00139_000000000129_4	-
TARA_ARC_108_MAG_00139_000000000129_5	-
TARA_ARC_108_MAG_00139_000000000129_6	-
TARA_ARC_108_MAG_00139_000000000130_1	6.3.4.14,6.4.1.2
TARA_ARC_108_MAG_00139_000000000130_2	2.3.2.6
TARA_ARC_108_MAG_00139_000000000130_3	-
TARA_ARC_108_MAG_00139_000000000130_4	1.6.99.3
TARA_ARC_108_MAG_00139_000000000130_5	-
TARA_ARC_108_MAG_00139_000000000130_6	-
TARA_ARC_108_MAG_00139_000000000131_1	3.6.3.14
TARA_ARC_108_MAG_00139_000000000131_2	-
TARA_ARC_108_MAG_00139_000000000131_3	-
TARA_ARC_108_MAG_00139_000000000131_4	-
TARA_ARC_108_MAG_00139_000000000131_5	2.7.6.1
TARA_ARC_108_MAG_00139_000000000131_6	-
TARA_ARC_108_MAG_00139_000000000131_7	-
TARA_ARC_108_MAG_00139_000000000131_8	4.1.2.48
TARA_ARC_108_MAG_00139_000000000131_9	-
TARA_ARC_108_MAG_00139_000000000131_10	2.7.1.26,2.7.7.2
TARA_ARC_108_MAG_00139_000000000131_11	4.2.1.55
TARA_ARC_108_MAG_00139_000000000131_12	-
TARA_ARC_108_MAG_00139_000000000131_13	-
TARA_ARC_108_MAG_00139_000000000131_14	3.6.1.1
TARA_ARC_108_MAG_00139_000000000131_15	-
TARA_ARC_108_MAG_00139_000000000131_16	-
TARA_ARC_108_MAG_00139_000000000131_17	-
TARA_ARC_108_MAG_00139_000000000131_18	-
TARA_ARC_108_MAG_00139_000000000131_19	-
TARA_ARC_108_MAG_00139_000000000132_1	-
TARA_ARC_108_MAG_00139_000000000132_2	-
TARA_ARC_108_MAG_00139_000000000132_3	-
TARA_ARC_108_MAG_00139_000000000132_4	-
TARA_ARC_108_MAG_00139_000000000132_5	-
TARA_ARC_108_MAG_00139_000000000132_6	2.1.1.13
TARA_ARC_108_MAG_00139_000000000132_7	2.1.1.13,2.1.1.5
TARA_ARC_108_MAG_00139_000000000133_1	1.2.4.1
TARA_ARC_108_MAG_00139_000000000133_2	-
TARA_ARC_108_MAG_00139_000000000133_3	2.7.2.3
TARA_ARC_108_MAG_00139_000000000133_4	5.2.1.8
TARA_ARC_108_MAG_00139_000000000133_5	5.2.1.8
TARA_ARC_108_MAG_00139_000000000134_2	-
TARA_ARC_108_MAG_00139_000000000134_3	-
TARA_ARC_108_MAG_00139_000000000134_4	-
TARA_ARC_108_MAG_00139_000000000134_5	-
TARA_ARC_108_MAG_00139_000000000134_6	1.1.1.16,1.1.99.21
TARA_ARC_108_MAG_00139_000000000134_7	1.1.1.57,1.1.1.67
TARA_ARC_108_MAG_00139_000000000134_8	-
TARA_ARC_108_MAG_00139_000000000134_9	1.4.3.4
TARA_ARC_108_MAG_00139_000000000135_1	-
TARA_ARC_108_MAG_00139_000000000135_2	-
TARA_ARC_108_MAG_00139_000000000135_3	-
TARA_ARC_108_MAG_00139_000000000135_4	-
TARA_ARC_108_MAG_00139_000000000135_5	-
TARA_ARC_108_MAG_00139_000000000135_6	-
TARA_ARC_108_MAG_00139_000000000135_7	-
TARA_ARC_108_MAG_00139_000000000135_8	-
TARA_ARC_108_MAG_00139_000000000135_9	-
TARA_ARC_108_MAG_00139_000000000135_10	-
TARA_ARC_108_MAG_00139_000000000135_11	-
TARA_ARC_108_MAG_00139_000000000135_12	6.6.1.2
TARA_ARC_108_MAG_00139_000000000136_2	3.5.1.4
TARA_ARC_108_MAG_00139_000000000136_3	-
TARA_ARC_108_MAG_00139_000000000136_4	-
TARA_ARC_108_MAG_00139_000000000136_5	1.14.15.7
TARA_ARC_108_MAG_00139_000000000136_6	2.2.1.6
TARA_ARC_108_MAG_00139_000000000136_7	2.2.1.6
TARA_ARC_108_MAG_00139_000000000136_8	-
TARA_ARC_108_MAG_00139_000000000137_1	-
TARA_ARC_108_MAG_00139_000000000137_2	2.5.1.9
TARA_ARC_108_MAG_00139_000000000137_3	3.5.4.25,4.1.99.12
TARA_ARC_108_MAG_00139_000000000137_4	2.5.1.78
TARA_ARC_108_MAG_00139_000000000137_5	-
TARA_ARC_108_MAG_00139_000000000138_1	2.3.1.46
TARA_ARC_108_MAG_00139_000000000138_2	-
TARA_ARC_108_MAG_00139_000000000138_3	2.7.4.1
TARA_ARC_108_MAG_00139_000000000138_4	-
TARA_ARC_108_MAG_00139_000000000138_5	-
TARA_ARC_108_MAG_00139_000000000139_1	-
TARA_ARC_108_MAG_00139_000000000139_2	2.3.1.51
TARA_ARC_108_MAG_00139_000000000139_3	-
TARA_ARC_108_MAG_00139_000000000139_4	-
TARA_ARC_108_MAG_00139_000000000139_5	-
TARA_ARC_108_MAG_00139_000000000140_1	3.5.2.3
TARA_ARC_108_MAG_00139_000000000140_2	2.4.2.10
TARA_ARC_108_MAG_00139_000000000140_3	3.6.4.12
TARA_ARC_108_MAG_00139_000000000140_5	-
TARA_ARC_108_MAG_00139_000000000141_1	-
TARA_ARC_108_MAG_00139_000000000141_3	-
TARA_ARC_108_MAG_00139_000000000141_5	-
TARA_ARC_108_MAG_00139_000000000141_6	-
TARA_ARC_108_MAG_00139_000000000141_7	-
TARA_ARC_108_MAG_00139_000000000141_8	-
TARA_ARC_108_MAG_00139_000000000141_9	-
TARA_ARC_108_MAG_00139_000000000141_10	-
TARA_ARC_108_MAG_00139_000000000141_11	-
TARA_ARC_108_MAG_00139_000000000141_13	-
TARA_ARC_108_MAG_00139_000000000141_14	-
TARA_ARC_108_MAG_00139_000000000141_15	-
TARA_ARC_108_MAG_00139_000000000141_16	-
TARA_ARC_108_MAG_00139_000000000141_17	-
TARA_ARC_108_MAG_00139_000000000142_1	-
TARA_ARC_108_MAG_00139_000000000142_2	3.6.3.32
TARA_ARC_108_MAG_00139_000000000143_1	-
TARA_ARC_108_MAG_00139_000000000143_2	-
TARA_ARC_108_MAG_00139_000000000143_3	-
TARA_ARC_108_MAG_00139_000000000144_1	2.1.1.63
TARA_ARC_108_MAG_00139_000000000144_3	1.4.1.3
TARA_ARC_108_MAG_00139_000000000144_4	-
TARA_ARC_108_MAG_00139_000000000144_5	-
TARA_ARC_108_MAG_00139_000000000144_6	-
TARA_ARC_108_MAG_00139_000000000144_7	-
TARA_ARC_108_MAG_00139_000000000145_2	-
TARA_ARC_108_MAG_00139_000000000146_1	-
TARA_ARC_108_MAG_00139_000000000146_2	-
TARA_ARC_108_MAG_00139_000000000146_3	6.3.1.2
TARA_ARC_108_MAG_00139_000000000146_4	-
TARA_ARC_108_MAG_00139_000000000146_5	-
TARA_ARC_108_MAG_00139_000000000146_6	-
TARA_ARC_108_MAG_00139_000000000146_7	-
TARA_ARC_108_MAG_00139_000000000146_8	-
TARA_ARC_108_MAG_00139_000000000146_9	1.6.5.5
TARA_ARC_108_MAG_00139_000000000146_10	1.3.8.7
TARA_ARC_108_MAG_00139_000000000146_11	1.3.8.7
TARA_ARC_108_MAG_00139_000000000146_12	-
TARA_ARC_108_MAG_00139_000000000147_2	-
TARA_ARC_108_MAG_00139_000000000147_3	-
TARA_ARC_108_MAG_00139_000000000147_6	3.6.4.12
TARA_ARC_108_MAG_00139_000000000148_1	-
TARA_ARC_108_MAG_00139_000000000148_2	-
TARA_ARC_108_MAG_00139_000000000148_4	1.9.3.1
TARA_ARC_108_MAG_00139_000000000148_5	-
TARA_ARC_108_MAG_00139_000000000149_1	-
TARA_ARC_108_MAG_00139_000000000149_2	3.4.21.92
TARA_ARC_108_MAG_00139_000000000149_3	-
TARA_ARC_108_MAG_00139_000000000149_4	-
TARA_ARC_108_MAG_00139_000000000150_1	-
TARA_ARC_108_MAG_00139_000000000150_2	-
TARA_ARC_108_MAG_00139_000000000151_1	-
TARA_ARC_108_MAG_00139_000000000151_2	-
TARA_ARC_108_MAG_00139_000000000151_3	-
TARA_ARC_108_MAG_00139_000000000151_4	-
TARA_ARC_108_MAG_00139_000000000151_5	1.1.1.85
TARA_ARC_108_MAG_00139_000000000152_1	5.3.1.22,5.3.1.35
TARA_ARC_108_MAG_00139_000000000152_2	-
TARA_ARC_108_MAG_00139_000000000152_3	-
TARA_ARC_108_MAG_00139_000000000152_4	2.7.7.7
TARA_ARC_108_MAG_00139_000000000152_5	-
TARA_ARC_108_MAG_00139_000000000152_6	5.4.2.12
TARA_ARC_108_MAG_00139_000000000152_7	-
TARA_ARC_108_MAG_00139_000000000152_8	3.4.21.102
TARA_ARC_108_MAG_00139_000000000152_9	-
TARA_ARC_108_MAG_00139_000000000152_10	-
TARA_ARC_108_MAG_00139_000000000152_11	-
TARA_ARC_108_MAG_00139_000000000152_12	4.2.1.9
TARA_ARC_108_MAG_00139_000000000153_1	3.1.1.24
TARA_ARC_108_MAG_00139_000000000153_2	5.5.1.2
TARA_ARC_108_MAG_00139_000000000153_3	-
TARA_ARC_108_MAG_00139_000000000153_4	1.1.1.306
TARA_ARC_108_MAG_00139_000000000154_2	-
TARA_ARC_108_MAG_00139_000000000154_3	2.1.1.198
TARA_ARC_108_MAG_00139_000000000154_4	-
TARA_ARC_108_MAG_00139_000000000154_5	6.3.2.3
TARA_ARC_108_MAG_00139_000000000155_1	-
TARA_ARC_108_MAG_00139_000000000155_2	3.2.1.21,3.2.1.52
TARA_ARC_108_MAG_00139_000000000155_3	-
TARA_ARC_108_MAG_00139_000000000156_1	-
TARA_ARC_108_MAG_00139_000000000156_2	4.2.1.20
TARA_ARC_108_MAG_00139_000000000156_3	5.3.1.24
TARA_ARC_108_MAG_00139_000000000156_4	-
TARA_ARC_108_MAG_00139_000000000156_5	-
TARA_ARC_108_MAG_00139_000000000156_6	-
TARA_ARC_108_MAG_00139_000000000157_1	1.3.5.1,1.3.5.4
TARA_ARC_108_MAG_00139_000000000157_2	-
